ID,Product,Time
500026,ATM,6/4/2016
500026,CKING,6/11/2016
500026,SVG,6/11/2016
500075,ATM,6/30/2016
500075,CKING,6/30/2016
500075,MMDA,9/13/2014
500075,SVG,5/9/2016
500075,TRUST,5/9/2016
500129,ATM,5/21/2016
500129,CKING,5/21/2016
500129,IRA,6/4/2016
500129,SVG,6/4/2016
500256,CKCRD,6/11/2016
500256,CKING,6/30/2016
500256,SVG,6/30/2016
500341,CKCRD,9/13/2014
500341,CKING,9/13/2014
500341,SVG,11/2/2014
500350,CD,5/9/2016
500350,CKING,5/20/2016
500458,ATM,5/20/2016
500458,SVG,5/20/2016
500595,CD,5/21/2016
500595,CKING,6/11/2016
500595,SVG,6/11/2016
500595,TRUST,6/11/2016
500743,CCRD,9/13/2014
500743,CKCRD,9/13/2014
500743,CKING,9/13/2014
500743,HMEQLC,11/2/2014
500743,MTG,11/5/2014
500743,SVG,11/5/2014
500744,CD,11/5/2014
500744,CKING,11/5/2014
500823,CCRD,11/5/2014
500823,CKING,11/5/2014
500823,PLOAN,11/5/2014
500823,SVG,11/5/2014
500899,CD,11/5/2014
500899,CKING,11/5/2014
500899,SVG,11/5/2014
501244,ATM,11/5/2014
501244,CKING,11/5/2014
501260,ATM,11/5/2014
501260,CCRD,11/5/2014
501260,CD,11/5/2014
501260,CKING,11/5/2014
501260,IRA,11/5/2014
501260,SVG,11/5/2014
501260,TRUST,11/5/2014
501264,CKING,11/5/2014
501264,SVG,11/5/2014
501272,ATM,11/5/2014
501272,CD,1/11/2015
501272,CKING,1/11/2015
501272,SVG,1/11/2015
501420,CKING,1/11/2015
501420,SVG,1/11/2015
501479,CKING,9/6/2014
501479,SVG,9/6/2014
501533,CCRD,9/6/2014
501533,CKING,11/11/2014
501551,ATM,9/6/2014
501551,AUTO,9/6/2014
501551,CD,9/6/2014
501551,CKING,11/11/2014
501551,SVG,9/6/2014
501598,CKING,9/6/2014
501601,ATM,9/6/2014
501601,CD,9/6/2014
501601,CKING,11/11/2014
501601,MMDA,11/11/2014
501601,SVG,9/6/2014
501648,CKING,9/6/2014
501649,ATM,9/6/2014
501649,CKING,9/6/2014
501649,SVG,9/6/2014
501702,CD,9/6/2014
501702,CKING,11/11/2014
501702,SVG,11/7/2014
501760,SVG,11/7/2014
501774,CKING,8/15/2015
501774,MMDA,8/15/2015
501817,ATM,8/15/2015
501817,CD,8/15/2015
501817,CKING,8/15/2015
501817,SVG,8/15/2015
501823,ATM,8/15/2015
501823,AUTO,8/15/2015
501823,CKING,8/15/2015
501823,HMEQLC,8/15/2015
501823,PLOAN,8/15/2015
501823,SVG,8/15/2015
501830,ATM,8/15/2015
501830,CD,8/15/2015
501830,CKING,8/15/2015
501830,IRA,1/18/2015
501830,MMDA,1/18/2015
501909,ATM,1/18/2015
501909,CCRD,1/18/2015
501909,CKING,1/18/2015
501909,SVG,8/9/2016
502039,ATM,8/9/2016
502039,CD,5/26/2016
502039,SVG,5/26/2016
502074,ATM,8/9/2016
502074,CKING,5/26/2016
502074,MMDA,5/26/2016
502114,ATM,8/9/2016
502114,CCRD,5/26/2016
502114,CD,8/9/2016
502114,CKING,8/9/2016
502114,SVG,10/1/2014
502127,CKING,10/1/2014
502127,MMDA,10/1/2014
502343,ATM,10/1/2014
502343,CKING,10/12/2014
502343,SVG,10/12/2014
502479,ATM,11/22/2014
502479,CKING,11/22/2014
502479,SVG,2/7/2015
502646,ATM,5/24/2015
502646,CKING,5/24/2015
502646,MMDA,11/22/2014
502662,AUTO,11/22/2014
502662,CKING,2/7/2015
502698,CKING,5/24/2015
502698,MMDA,5/24/2015
502738,CD,5/24/2015
502738,CKING,1/30/2016
502752,ATM,10/1/2014
502752,CKING,10/1/2014
502752,SVG,10/1/2014
502907,CD,10/12/2014
503022,AUTO,10/12/2014
503099,CKING,11/22/2014
503099,SVG,11/22/2014
503111,ATM,11/22/2014
503111,CD,2/7/2015
503111,CKING,2/7/2015
503111,SVG,2/7/2015
503148,ATM,5/24/2015
503148,CKING,5/24/2015
503148,SVG,5/24/2015
503164,CCRD,5/24/2015
503164,CKCRD,1/30/2016
503164,CKING,10/1/2014
503164,MTG,10/1/2014
503164,SVG,10/1/2014
503272,CKING,10/12/2014
503272,HMEQLC,10/12/2014
503361,ATM,10/12/2014
503361,CKING,11/22/2014
503361,MTG,11/22/2014
503361,SVG,2/7/2015
503471,CD,2/7/2015
503471,CKING,2/7/2015
503471,SVG,5/24/2015
503515,CD,1/30/2016
503515,CKING,1/30/2016
503515,SVG,3/26/2015
503634,CKING,3/26/2015
503634,MMDA,1/20/2015
503806,ATM,1/20/2015
503806,CKING,3/25/2016
503806,SVG,1/20/2015
503873,CKING,3/26/2015
503873,IRA,3/26/2015
503873,SVG,3/26/2015
503877,CKCRD,1/20/2015
503877,CKING,3/26/2015
503877,IRA,3/26/2015
503877,SVG,3/26/2015
503901,CKING,12/6/2014
503901,HMEQLC,12/6/2014
503901,MTG,12/6/2014
503901,SVG,4/9/2015
503931,ATM,4/9/2015
503931,CKING,4/9/2015
504080,CKING,4/9/2015
504080,MMDA,4/9/2015
504158,ATM,4/9/2015
504158,CKING,4/9/2015
504182,SVG,4/9/2015
504334,CCRD,9/26/2015
504334,CKCRD,9/26/2015
504334,CKING,10/9/2015
504339,ATM,10/12/2015
504339,CKING,10/12/2015
504339,HMEQLC,11/3/2015
504339,MMDA,11/3/2015
504339,MTG,11/3/2015
504339,SVG,3/19/2016
504415,ATM,6/30/2016
504415,CKING,6/30/2016
504415,SVG,6/30/2016
504422,CKING,9/29/2014
504422,HMEQLC,9/29/2014
504434,CKING,9/29/2014
504434,SVG,9/29/2014
504446,CKCRD,11/3/2014
504446,CKING,11/3/2014
504446,SVG,12/6/2014
504499,CKING,12/6/2014
504499,SVG,12/6/2014
504752,ATM,12/6/2014
504752,AUTO,12/6/2014
504752,CD,12/6/2014
504752,CKING,12/6/2014
504752,HMEQLC,12/6/2014
504752,MMDA,12/6/2014
504752,MTG,12/6/2014
504752,SVG,12/6/2014
504752,TRUST,12/10/2014
504856,ATM,4/9/2015
504856,AUTO,4/9/2015
504856,CKING,4/9/2015
504856,HMEQLC,4/9/2015
504856,SVG,9/23/2015
504988,CKCRD,9/23/2015
504988,CKING,9/23/2015
504988,HMEQLC,10/12/2015
505014,SVG,10/12/2015
505070,ATM,11/3/2015
505070,CKING,11/3/2015
505082,CD,11/3/2015
505082,CKING,11/3/2015
505082,SVG,11/3/2015
505197,ATM,11/3/2015
505197,CKING,11/3/2015
505197,SVG,11/3/2015
505277,CD,6/30/2016
505277,CKING,9/29/2014
505277,SVG,9/29/2014
505414,CKING,9/29/2014
505419,CKING,12/10/2014
505419,MMDA,12/10/2014
505419,SVG,4/9/2015
505442,AUTO,4/9/2015
505442,CKCRD,7/24/2015
505442,CKING,9/23/2015
505442,SVG,9/23/2015
505546,CCRD,9/26/2015
505546,CKCRD,9/26/2015
505546,CKING,10/9/2015
505546,HMEQLC,10/12/2015
505546,SVG,10/12/2015
505627,CD,10/12/2015
505627,CKING,11/3/2015
505627,SVG,11/3/2015
505646,SVG,11/3/2015
505656,ATM,6/30/2016
505656,CKING,6/30/2016
505656,SVG,9/29/2014
505677,ATM,11/3/2014
505677,CKING,12/6/2014
505680,CKING,12/6/2014
505680,HMEQLC,12/6/2014
505868,ATM,12/10/2014
505868,CKING,4/9/2015
505981,CKING,4/9/2015
505981,HMEQLC,4/9/2015
506050,CKING,4/9/2015
506171,CD,4/9/2015
506171,CKING,4/9/2015
506171,MMDA,4/9/2015
506171,TRUST,4/9/2015
506302,CKING,9/26/2015
506302,SVG,9/26/2015
506364,CCRD,9/26/2015
506364,CKCRD,10/9/2015
506364,CKING,10/12/2015
506364,SVG,11/3/2015
506697,CKING,11/3/2015
506699,AUTO,11/3/2015
506699,CKING,11/3/2015
506699,SVG,11/3/2015
506708,CKCRD,11/3/2015
506708,CKING,11/3/2015
506708,HMEQLC,11/3/2015
506708,MTG,11/3/2015
506765,CKING,11/3/2015
506816,CKING,6/30/2016
506816,SVG,6/30/2016
506861,SVG,6/30/2016
506942,ATM,6/9/2016
506942,CKING,5/13/2015
506942,HMEQLC,5/13/2015
506945,ATM,12/27/2014
506945,SVG,12/27/2014
506947,CD,12/27/2014
507002,ATM,12/27/2014
507002,CKING,12/27/2014
507002,SVG,12/27/2014
507084,ATM,12/27/2014
507084,AUTO,12/27/2014
